NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD
NDHWS17-0279-A07,1185,2,17,30,B104'S'/NDSW0612//NDSW1379,211,179,30,1,109.45
NDHWS17-0066-A09,1186,2,17,31,NDSW1379/NDSW1370,211,176,31,2,99.59
NDHWS17-0066-H60,1187,2,17,32,NDSW1379/NDSW1370,212,180,33,1,112.61
NDHWS17-0260-A12,1198,2,18,22,NDSW1379/NDSW0914,207,174,30,2,109.45
NDHWS17-0066-C28,1197,2,18,23,NDSW1379/NDSW1370,209,177,30,2,102.9
NDHWS17-0256-C48,1196,2,18,24,NDSW14098/NDSW0612,210,174,29,1,100.77
NDHWS17-0187-C35,1195,2,18,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,176,29,1,103.12
NDHWS17-0187-H56,1194,2,18,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,180,31,1,101.28
NDHWS17-0187-C22,1193,2,18,27,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,178,31,2,103.81
NDHWS17-0256-C37,1192,2,18,28,NDSW14098/NDSW0612,210,177,31,1,109.78
NDHWS17-0279-C54,1191,2,18,29,B104'S'/NDSW0612//NDSW1379,209,178,29,2,115.87
NDHWS17-0040-A21,1190,2,18,30,NDSW1370/NDSW0932,212,177,30,1,108.95
NDSW0932,1189,2,18,31,NDSW0345/ND2831,207,174,28,2,102.67
NDHWS17-0001-A22,1188,2,18,32,ALPINE/NDSW1370,208,174,29,1,123.92
NDHWS17-0279-H61,1199,2,19,22,B104'S'/NDSW0612//NDSW1379,211,178,29,2,123.56
NDHWS17-0013-A20,1200,2,19,23,NDSW1379/NDSW0601,207,176,29,2,114
NDHWS17-0187-C27,1201,2,19,24,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,206,175,31,2,108.55
NDHWS17-0066-A18,1202,2,19,25,NDSW1379/NDSW1370,207,176,28,2,99.67
NDHWS17-0187-C24,1203,2,19,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,178,29,1,98.3
NDHWS17-0001-A24,1204,2,19,27,ALPINE/NDSW1370,205,172,27,1,105.2
NDHWS17-0001-A22,1205,2,19,28,ALPINE/NDSW1370,206,172,29,1,105.42
NDHWS17-0128-C36,1206,2,19,29,NDSW10067'S'//NDSW1304'A'/NDSW0932,204,171,28,1,74.31
NDHWS17-0040-A30,1207,2,19,30,NDSW1370/NDSW0932,206,174,28,1,91.87
NDHWS17-0066-A18,1208,2,19,31,NDSW1379/NDSW1370,208,176,28,2,99.07
NDHWS17-0362-A11,1209,2,19,32,NDSW1379/B104'S'//NDSW14098,NA,178,25,1,89.44
NDHWS17-0187-H64,1220,2,20,22,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,174,34,2,129.76
NDHWS17-0365-H50,1219,2,20,23,NDSW1379/B105'S'//NDSW14098,212,174,30,2,127.71
NDHWS17-0066-C35,1218,2,20,24,NDSW1379/NDSW1370,211,177,32,1,122.18
NDHWS17-0187-H63,1217,2,20,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,177,29,1,122.35
NDHWS17-0187-C40,1216,2,20,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,176,30,1,120.72
NDHWS17-0066-C39,1215,2,20,27,NDSW1379/NDSW1370,210,179,29,2,116.78
NDHWS17-0066-C31,1214,2,20,28,NDSW1379/NDSW1370,207,176,27,2,103.35
NDHWS17-0362-A11,1213,2,20,29,NDSW1379/B104'S'//NDSW14098,207,176,26,1,93.2
NDHWS17-0083-C32,1212,2,20,30,NDSW14098/NDSW0601,205,175,26,1,95.01
GLENN,1211,2,20,31,ND2831//PARSHALL/ND706,204,172,27,1,88.06
NDHWS17-0256-C50,1210,2,20,32,NDSW14098/NDSW0612,207,176,28,2,83.18
