Date,PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,objNumCell,naNumCell,Height_0,Height_25,Height_50,Height_75,Height_100,Height_10,Height_90,DAP
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1178,NDHWS17-0066-H57,1178,2,17,23,NDSW1379/NDSW1370,204,174,23,1,93.43,35,0.034966476,0.036818281,0.027920977,0.055231367,0.163941933,0.168901832,0.861036268,0.134287638,0.657382163,0.449667534,4.244490888,2.241689185,0.571000958,4769,8352,-0.192377952,-0.019583477,0.043950723,0.131919971,0.177739273,-0.068582956,0.15747385,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1179,NDHWS17-0255-C55,1179,2,17,24,NDSW10117'S'/NDSW0612,210,177,25,1,93.24,36,0.033080612,0.036669878,0.026864133,0.056349551,0.18345026,0.191903187,0.811150637,0.163415463,0.680640515,0.472834871,4.912523089,2.510894674,0.614942529,5136,8352,-0.195812875,-0.01912018,0.05144636,0.117309514,0.169609661,-0.072576421,0.146460148,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1180,NDHWS17-0279-C54,1180,2,17,25,B104'S'/NDSW0612//NDSW1379,209,177,27,1,87.04,37,0.035800764,0.039440962,0.029145089,0.059361443,0.177723946,0.183244069,0.82969377,0.152491974,0.661792682,0.449122246,4.19222675,2.201253875,0.593271073,4955,8352,-0.187195193,-0.016267114,0.058404045,0.099206384,0.155647332,-0.055990457,0.127671791,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1181,NDHWS17-0279-C49,1181,2,17,26,B104'S'/NDSW0612//NDSW1379,211,176,28,1,93.34,38,0.033308175,0.036993411,0.027218672,0.056552507,0.177201131,0.188124752,0.817462122,0.158515869,0.673699147,0.461978652,4.608035466,2.365368744,0.608716475,5084,8352,-0.200915472,-0.077798308,-0.008570142,0.04580377,0.115005459,-0.142246526,0.08779658,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1182,NDHWS17-0057-H45,1182,2,17,27,NDSW1370/NDSW0914,209,174,30,2,99.52,39,0.031426329,0.034912522,0.026029279,0.053325359,0.177438874,0.178876971,0.813815966,0.154358674,0.681645307,0.479409216,4.987695652,2.597828489,0.621048851,5187,8352,-0.197858384,-0.007147146,0.098068576,0.183602969,0.232458732,-0.07707232,0.210519991,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1183,NDHWS17-0040-A21,1183,2,17,28,NDSW1370/NDSW0932,210,177,29,2,96.75,40,0.031354752,0.036251601,0.025880073,0.057196647,0.193649536,0.20848095,0.78005513,0.184747406,0.691289844,0.47692047,5.161144423,2.532798256,0.620929119,5186,8352,-0.204680251,-0.035129742,0.032172087,0.106908125,0.152671307,-0.10816616,0.127322781,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1184,NDHWS17-0187-H46,1184,2,17,29,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,208,174,29,1,91.74,41,0.033992345,0.037376038,0.027445581,0.057167345,0.179864074,0.192237593,0.81921921,0.160414761,0.676748132,0.465424544,4.719112776,2.411413157,0.60237069,5031,8352,-0.185037949,-0.027457509,0.057558511,0.137271672,0.215549334,-0.088947173,0.17755475,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1185,NDHWS17-0279-A07,1185,2,17,30,B104'S'/NDSW0612//NDSW1379,211,179,30,1,109.45,42,0.033580329,0.037167606,0.027773692,0.056768867,0.194874861,0.17735789,0.812837288,0.155237329,0.682520948,0.484854593,5.205530122,2.715586236,0.609434866,5090,8352,-0.210121119,0.048306291,0.117157927,0.152981733,0.197038793,-0.036519634,0.170068462,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1186,NDHWS17-0066-A09,1186,2,17,31,NDSW1379/NDSW1370,211,176,31,2,99.59,43,0.032554093,0.037964634,0.026992999,0.059314497,0.202528791,0.206204353,0.779280129,0.181508729,0.697045487,0.485666914,5.128012268,2.598456667,0.633141762,5288,8352,-0.203552857,0.053966224,0.128100322,0.218880408,0.267655451,-0.015202384,0.251205965,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1187,NDHWS17-0066-H60,1187,2,17,32,NDSW1379/NDSW1370,212,180,33,1,112.61,44,0.030185067,0.036480995,0.02546805,0.057821254,0.206211415,0.203805404,0.772178023,0.182419818,0.707210316,0.493261509,5.158652571,2.626607708,0.645953065,5395,8352,-0.191169077,0.061075781,0.14684507,0.201974074,0.263052838,-0.032955737,0.238781014,52
