PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,TRAIT,AUC
1095,NDHWS17-0252-A16,1095,1,9,28,NDSW14098/CHECK_02,208,176,30,1,105.4,128,0.04284469,0.04747179,0.0325393,0.07551674,0.2689865,0.2277995,0.7968287,0.1856801,0.7297378,0.5148279,5.722705,2.871543,0.6418335,NDRE,24.5959833
1096,NDHWS17-0187-C26,1096,1,9,29,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,NA,176,33,2,112.08,129,0.04439083,0.04802317,0.03346879,0.07622346,0.2703103,0.2267002,0.8059559,0.1812369,0.7312478,0.5168864,5.928186,2.946099,0.6345441,NDRE,24.74000128
1097,NDHWS17-0045-C47,1097,1,9,30,NDSW0932/NDSW10067'S',208,176,33,2,125.89,130,0.04141955,0.0433174,0.03073493,0.06870814,0.2448043,0.2311603,0.8102495,0.1827205,0.731344,0.5225728,6.372401,3.096716,0.6341671,NDRE,24.88917444
1098,NDHWS17-0066-A24,1098,1,9,31,NDSW1379/NDSW1370,208,174,32,1,102.43,131,0.04558042,0.04819508,0.03469426,0.07470965,0.2506894,0.1982037,0.8318425,0.1582321,0.7105103,0.5026439,5.352216,2.774535,0.622807,NDRE,23.83004071
1099,NDHWS17-0323-H29,1099,1,9,32,NDSW15128/NDSW1370//NDSW14098,213,177,30,1,114.99,132,0.04000951,0.04412703,0.03010859,0.07148415,0.2716453,0.2372611,0.7865867,0.1955724,0.7364963,0.5244535,6.498675,3.141718,0.6355325,NDRE,25.78494635
1088,BARLOW,1088,1,8,22,ND2831//PARSHALL/ND706/3/ND721,207,171,31,2,109.4,133,0.04930895,0.05068215,0.0355849,0.07985601,0.2607749,0.2272669,0.8369329,0.1698767,0.7146747,0.4930211,5.641588,2.756845,0.6270077,NDRE,24.20300634
1087,NDHWS17-0323-C12,1087,1,8,23,NDSW15128/NDSW1370//NDSW14098,213,177,31,1,111.32,134,0.04922443,0.05184716,0.03629007,0.08241949,0.2812042,0.2305064,0.8142117,0.1819895,0.7133465,0.4954489,5.991451,2.868964,0.6199611,NDRE,24.60460814
1086,FALLER,1086,1,8,24,ND2857/3/KITT/AMIDON//GR/STOASIB,207,174,31,2,NA,135,0.04842544,0.05068967,0.03572914,0.07980373,0.2681353,0.2260294,0.8122842,0.1786448,0.7158235,0.5002598,5.91707,2.893269,0.6383741,NDRE,24.19691898
1085,NDHWS17-0066-C46,1085,1,8,25,NDSW1379/NDSW1370,210,176,32,1,114.7,136,0.05031283,0.05251271,0.03744598,0.08204986,0.2748203,0.2095434,0.837385,0.1615827,0.7102531,0.4963535,5.644697,2.835029,0.6170002,NDRE,24.45993335
1084,NDHWS17-0256-C50,1084,1,8,26,NDSW14098/NDSW0612,211,176,31,1,102.68,137,0.04741563,0.04857622,0.03470552,0.07604869,0.2493695,0.2117279,0.856165,0.1548274,0.7118232,0.4960377,5.436275,2.701897,0.6277319,NDRE,23.47207797
1083,NDHWS17-0057-H45,1083,1,8,27,NDSW1370/NDSW0914,208,175,33,2,104.95,138,0.04998601,0.0504088,0.03675005,0.07775383,0.2608223,0.1917704,0.8697841,0.1401076,0.7072202,0.5003374,5.638015,2.903901,0.6251544,NDRE,24.38025244
1082,NDHWS17-0045-C38,1082,1,8,28,NDSW0932/NDSW10067'S',212,176,33,2,112.23,139,0.04544068,0.04749572,0.032842,0.07581083,0.2683557,0.2443534,0.8091319,0.1902312,0.726822,0.5104971,6.442813,3.078262,0.634297,NDRE,24.9128097
1081,MAX,1081,1,8,29,NA,213,179,33,1,88.5,140,0.04946273,0.05282668,0.03651324,0.08386949,0.2810973,0.222801,0.8226017,0.1736312,0.7164607,0.4937132,5.574415,2.755573,0.630467,NDRE,24.81319839
1080,NDHWS17-0066-H47,1080,1,8,30,NDSW1379/NDSW1370,211,177,34,2,120.2,141,0.0464299,0.04892469,0.03453065,0.07710681,0.2707652,0.2155109,0.8107336,0.1747946,0.7183188,0.5083221,6.102758,3.049172,0.6373239,NDRE,25.19827243
1079,NDSW0932,1079,1,8,31,NDSW0345/ND2831,211,174,31,2,109.45,142,0.04822954,0.0495315,0.03446751,0.07880454,0.2521283,0.2329169,0.837421,0.1726088,0.717243,0.490301,5.635696,2.694791,0.6208302,NDRE,23.74879158
1078,NDHWS17-0187-C22,1078,1,8,32,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,179,33,1,111.03,143,0.042711,0.04708513,0.0317279,0.07637534,0.275496,0.2382366,0.7961544,0.191661,0.7321026,0.5118679,5.982188,2.896585,0.6501112,NDRE,25.45727288
1067,NDHWS17-0323-A01,1067,1,7,22,NDSW15128/NDSW1370//NDSW14098,212,175,32,1,117.23,144,0.04801857,0.05180665,0.03565292,0.082759,0.3047898,0.2436944,0.7655327,0.2081989,0.729544,0.5184033,6.726861,3.272079,0.6346677,NDRE,25.62429662
1068,NDHWS17-0362-A17,1068,1,7,23,NDSW1379/B104'S'//NDSW14098,207,174,29,2,108.36,145,0.05298161,0.05361517,0.03844724,0.08253219,0.2626291,0.2117654,0.8503222,0.1587982,0.6949751,0.4832033,5.396898,2.741739,0.6073337,NDRE,23.4422492
1069,NDHWS17-0066-C31,1069,1,7,24,NDSW1379/NDSW1370,208,176,30,2,NA,146,0.05042798,0.05177707,0.03725692,0.0798309,0.2655059,0.2160621,0.8103022,0.1760039,0.7070401,0.5007363,5.906229,2.994203,0.6263899,NDRE,23.75192906
1070,MAX,1070,1,7,25,NA,210,177,32,1,93.93,147,0.052066,0.05424207,0.03853979,0.08500652,0.2824364,0.2112056,0.8357728,0.1633764,0.7041648,0.4907031,5.52376,2.763318,0.6221893,NDRE,24.1351278
1071,NDHWS17-0187-H58,1071,1,7,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,207,176,30,1,111.16,148,0.04488761,0.04797839,0.03382486,0.07567414,0.274837,0.230084,0.7646093,0.2029182,0.720007,0.5195459,6.603582,3.299275,0.6336814,NDRE,24.60047826
1072,NDHWS17-0066-H59,1072,1,7,27,NDSW1379/NDSW1370,208,176,33,1,107.98,149,0.04840092,0.05414909,0.03699751,0.08534438,0.3041076,0.2348065,0.76493,0.2048349,0.7166049,0.504322,5.863722,2.98205,0.6361502,NDRE,24.79128967
1073,NDHWS17-0001-A24,1073,1,7,28,CHECK_02/NDSW1370,205,173,30,2,112.84,150,0.04716401,0.05097438,0.03541236,0.07962371,0.2690687,0.2264935,0.7885018,0.1905258,0.7051377,0.4925904,5.512844,2.787387,0.6286138,NDRE,23.69830332
